Title,Salary,Job Type,Job Location,Functional Area,Career Level,Minimum Experience,Minimum Education,Gender,Skills,Remote_Friendly
Order Fulfillment Manager,30000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Retail,Experienced Professional,2.0,Intermediate,Male,"Team Building, Order Tracking, Order Processing, Order Management",0
Video Editor,30000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",,,1.0,,No Preference,Video Editor,0
Branch in Charge (Patokki),60000.0,full time/permanent,"Patoki,
                                                                                                                                                                                                                                                                                            Pakistan",,,3.0,,No Preference,"Customer Service, Problem Solving, Communication, Time Management, Customer Relationship Management",0
Php,85000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",,,2.0,,No Preference,"PHP, MySQL",0
Laravel,100000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",,,4.0,,No Preference,Laravel Framework,0
Operations Manager,100000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Experienced Professional,,Bachelor,No Preference,"Team Management Skills, Leadership Skills, Communication Skills",0
Customer Sales Representative,30000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,,Matriculation,No Preference,"Fluent in English, Coordination Skills, Communication Skills",0
Sales Executive,35000.0,full time/permanent,"Jaranwala Road, 
                                                                                                                                                                                                                                                                                                            Faisalabad,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,,Intermediate,No Preference,"Communication Skills, Telemarketing  Skills, Sales Management, Fluent in English",0
Truck Dispatcher,30000.0,full time/permanent,"Architect Society, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,,Intermediate,Male,"Email List Management, Dispatch Skills, Coordination Skills",0
Customers Sales Representative,30000.0,full time/permanent,"Bahria Town Rawalpindi, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,,Intermediate,Female,"Sales Management, Sales Automation, Coordination Skills",0
Business Development Executive,40000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,,Intermediate,No Preference,"Coordination Skills, Communication Skills, Negotiations Skills",0
Sales Development Representative,50000.0,full time/permanent,"Wapda Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,,Bachelor,Male,"Communication Skills, Sales Generation, CRM",0
Customer Services Representative - Spanish,60000.0,full time/permanent,"DHA, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,1.0,Intermediate,No Preference,"Fluent in English, Customer Interaction Management, Customer Care Representation",0
Civil Engineer,50000.0,full time/permanent,"Gulshan Ravi, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Architects & Construction,Experienced Professional,5.0,Master,No Preference,"AutoCAD, Microsoft Office, Civil Design Knowledge",0
Customer Support Executive,60000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,1.0,Bachelor,No Preference,"Fluent in English, Ingredient Management, Customer Service",0
Recruiter,50000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Entry Level,1.0,Intermediate,No Preference,"Pressure Management, HR Policy Management, Employee Relationship Management",0
Team Lead Operations,70000.0,full time/permanent,"Civil Lines, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Experienced Professional,2.0,Intermediate,No Preference,"Team Management Skills, Leadership Skills, Communication Skills",0
Lathe Machine Operator,90000.0,full time/permanent,"Quaid-e-Azam Industrial Estate, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Industrial Production,Experienced Professional,3.0,Certification,No Preference,"Coordination Skills, Teething Machine, Communication Skills, Milling Machine",0
Call Center Agent – Outbound,60000.0,full time/permanent,"Gulberg, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,1.0,Intermediate,No Preference,"Communication Skills, Fluent in English, Coordination Skills",0
SEO Specialist,60000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Search Engine Optimization (SEO),Experienced Professional,,Bachelor,No Preference,"SEO, Search Engines Submission, SEO Engine Ranking",0
Registered Nurse,300000.0,full time/permanent,"Abu Dhabi,
                                                                                                                                                                                                                                                                                            United Arab Emirates",Health & Medicine,Entry Level,1.0,Bachelor,Female,"Healthcare Professional, Patient Counseling, Monitor Patient Condition",0
Data Analyst,60000.0,full time/permanent,"Korangi Industrial Area, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Data Entry,Experienced Professional,,Bachelor,Male,"NumPy, Pandas, Python, Power BI",0
Accounts Assistant,40000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,1.0,Bachelor,No Preference,"Taxation Knowledge, Accounts Administration, Sales Tax Command",0
Procurement Executive - Pharmaceutical Raw Materials,60000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Procurement,Experienced Professional,3.0,Bachelor,Male,"Pricing Negotiation Skills, Communication Skills, Proactive Leadership",0
Sales Representative,20000.0,full time/permanent,"Clifton, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,,Intermediate,No Preference,"Communication Skills, Coordination Skills, Sales Management",0
Product Manager,50000.0,full time/permanent,"Township, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Product Management,Experienced Professional,,,Male,"Product Analysis, Product Marketing, Product Management, Communication Skills",0
